name,score,price,room_type,area,breakfast,img_path
Longsheng Xichuangyue B&B Hotel,,391元,标准大号床间,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Longsheng Xichuangyue BB Hotel.jpg
"Zhangjiajie Fantasy Valley Resort Customized travel itineraries free shuttle service to the North and West Gates of the National Forest Park, and complimentary traditional ethnic costume try-on",,560元,山景双人间,60 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Zhangjiajie Fantasy Valley Resort Customized travel itineraries free shuttle service to the North and West Gates of the National Forest Park and complimentary traditional ethnic costume tryon.jpg
Bor Manju Vacation guesthouse--Near the Ticket Gate--service in Chinese and English,,372元,双人间 - 带私人浴室,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Bor Manju Vacation guesthouseNear the Ticket Gateservice in Chinese and English.jpg
泉州中心智选假日酒店,,314元,标准大床房,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\泉州中心智选假日酒店.jpg
EVEN Hotel 中山中心逸衡酒店,,394元,高级房 2张双人床,28 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\EVEN Hotel 中山中心逸衡酒店.jpg
昆明空港希尔顿逸林酒店,,418元,逸林大床房,39 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\昆明空港希尔顿逸林酒店.jpg
IBIS Hotel-100 Meters to East Entrance of ZJJ National Forest Park-English Front Desk Service-8Hour Extended Breakfast-GYM-Live Music,,486元,豪华特大号床间,28 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\IBIS Hotel100 Meters to East Entrance of ZJJ National Forest ParkEnglish Front Desk Service8Hour Extended BreakfastGYMLive Music.jpg
广州白云机场诺富特酒店,,624元,标准双床间,28 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\广州白云机场诺富特酒店.jpg
上海浦东机场假日酒店,,914元,高级房 双床,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海浦东机场假日酒店.jpg
龙胜云漫田间观景酒店,,377元,山景双床间,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\龙胜云漫田间观景酒店.jpg
院中院丨墨林丨咖啡畅饮丨供氧庭院,,399元,双人间 - 带2张双人床,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\院中院丨墨林丨咖啡畅饮丨供氧庭院.jpg
洛阳龙门智选假日酒店,,258元,高级房 2张单人床 无窗,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\洛阳龙门智选假日酒店.jpg
广州白云机场T2航站楼智选假日酒店,,296元,高级房 超大床,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\广州白云机场T2航站楼智选假日酒店.jpg
长沙高铁南站智选假日酒店,,260元,Standard Twin Room with Extra Floor Space,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\长沙高铁南站智选假日酒店.jpg
忆泊酒店（杭州西湖店）,,492元,云舍大床房,28 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\忆泊酒店杭州西湖店.jpg
上海浦东机场智选假日酒店,,387元,高级房大床,21 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海浦东机场智选假日酒店.jpg
济南泉城广场智选假日酒店,,320元,高级房 超大床,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\济南泉城广场智选假日酒店.jpg
北京大兴国际机场希尔顿花园酒店,,357元,花园双床房,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\北京大兴国际机场希尔顿花园酒店.jpg
乌镇记忆年华客栈,,145元,阁楼榻榻米大床房,15 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\乌镇记忆年华客栈.jpg
珠海横琴希尔顿逸林酒店,,453元,逸林双床房,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\珠海横琴希尔顿逸林酒店.jpg
南昌方大智选假日酒店,,220元,高级大床房更大面积,33 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\南昌方大智选假日酒店.jpg
无锡中央车站假日酒店,,415元,标准大床房,34 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\无锡中央车站假日酒店.jpg
"Shanghai Yunhe Yebo Hotel, Wuning Road Global Harbor Branch",,620元,经济双人间,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Shanghai Yunhe Yebo Hotel Wuning Road Global Harbor Branch.jpg
上海高铁东站希尔顿花园酒店,,360元,花园高级双床房,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海高铁东站希尔顿花园酒店.jpg
上海海上铂悦酒店（免费提供浦东机场和迪士尼班车接送）,,290元,标准双床房,26 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海海上铂悦酒店免费提供浦东机场和迪士尼班车接送.jpg
丽江且亭酒店,,175元,普通大床房,30 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\丽江且亭酒店.jpg
厦门探索酒店 Discovery Hotel Xia Men,,326元,经济双人间,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\厦门探索酒店 Discovery Hotel Xia Men.jpg
南京老门东家墅会别墅精品酒店,,252元,双人间,25 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\南京老门东家墅会别墅精品酒店.jpg
康铂酒店深圳国际会展中心店,,178元,标准客房,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\康铂酒店深圳国际会展中心店.jpg
珠海粤海假日酒店,,298元,高级房,33 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\珠海粤海假日酒店.jpg
BaoFeng Lake Narrative Light Retreat-Chinese Style-Pick-up-ZhangjiajieTickets-LocalGuideService,,268元,高级双人间,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\BaoFeng Lake Narrative Light RetreatChinese StylePickupZhangjiajieTicketsLocalGuideService.jpg
全季酒店（郑州正弘城科技市场智汇城店）,,362元,双床房,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\全季酒店郑州正弘城科技市场智汇城店.jpg
Beijing Feng Rong Jun Hua Airport T3 Beijing,,351元,双床间,15 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Beijing Feng Rong Jun Hua Airport T3 Beijing.jpg
